1,Центральная,Отопление,2017.33,811.64,1524.61,.00,105.18,2.07,99.33,316.63,4433.08,97.57,.00,.00,358.88,.00,NULL,NULL,NULL,NULL,NULL,NULL,11
1,Центральная,ГВС,.00,.00,181.50,.00,.00,.00,.00,.00,702.31,1.46,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,12
1,Центральная,ИТОГО,2017.33,811.64,1706.11,.00,105.18,2.07,99.33,316.63,5135.39,99.03,.00,.00,358.88,.00,NULL,NULL,NULL,NULL,10651.59,.00,13
2,Ходоровка,Отопление,52.64,2.36,.00,.00,.00,.00,.00,82.33,246.28,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,21
2,Ходоровка,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,22
2,Ходоровка,ИТОГО,52.64,2.36,.00,.00,.00,.00,.00,82.33,246.28,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,383.61,.00,23
3,Матюты,Отопление,12.82,.00,.00,.00,.00,.00,.00,312.69,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,31
3,Матюты,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,32
3,Матюты,ИТОГО,12.82,.00,.00,.00,.00,.00,.00,312.69,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,325.51,.00,33
4,Понкратовка,Отопление,20.91,13.30,.00,.00,.00,.00,.00,201.71,173.81,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,41
4,Понкратовка,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,42
4,Понкратовка,ИТОГО,20.91,13.30,.00,.00,.00,.00,.00,201.71,173.81,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,409.73,.00,43
5,Хоз. БСХА,Отопление,.00,15.20,.00,.00,.00,.00,.00,132.56,74.22,76.75,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,51
5,Хоз. БСХА,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,52
5,Хоз. БСХА,ИТОГО,.00,15.20,.00,.00,.00,.00,.00,132.56,74.22,76.75,.00,.00,.00,.00,NULL,NULL,NULL,NULL,298.73,.00,53
6,Маслаки,Отопление,109.55,26.58,.00,.00,.00,.00,.00,482.62,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,61
6,Маслаки,ГВС,.00,.00,.00,.00,.00,.00,.00,16.76,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,62
6,Маслаки,ИТОГО,109.55,26.58,.00,.00,.00,.00,.00,499.38,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,635.51,.00,63
7,Водозабор,Отопление,.00,.00,.00,.00,86.20,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,71
7,Водозабор,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,72
7,Водозабор,ИТОГО,.00,.00,.00,.00,86.20,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,86.20,.00,73
8,Баня,Отопление,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,81
8,Баня,ГВС,.00,.00,.00,.00,.00,.00,54.61,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,82
8,Баня,ИТОГО,.00,.00,.00,.00,.00,.00,54.61,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,54.61,.00,83
9,Больница,Отопление,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,91
9,Больница,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,92
9,Больница,ИТОГО,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,.00,.00,93
10,Слив. хоз.,Отопление,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,245.44,108.23,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,101
10,Слив. хоз.,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,42.71,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,102
10,Слив. хоз.,ИТОГО,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,288.15,108.23,.00,.00,NULL,NULL,NULL,NULL,396.38,.00,103
11,Паршино,Отопление,87.84,17.60,.00,.00,.00,.00,.00,66.24,.00,59.43,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,111
11,Паршино,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,112
11,Паршино,ИТОГО,87.84,17.60,.00,.00,.00,.00,.00,66.24,.00,59.43,.00,.00,.00,.00,NULL,NULL,NULL,NULL,231.11,.00,113
12,Овсянка,Отопление,285.21,82.89,.00,.00,.00,.00,.00,15.72,444.17,16.92,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,121
12,Овсянка,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,46.10,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,122
12,Овсянка,ИТОГО,285.21,82.89,.00,.00,.00,.00,.00,15.72,490.27,16.92,.00,.00,.00,.00,NULL,NULL,NULL,NULL,891.01,.00,123
13,Горы,Отопление,63.02,.73,.00,.00,.00,.00,.00,.00,89.22,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,131
13,Горы,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,132
13,Горы,ИТОГО,63.02,.73,.00,.00,.00,.00,.00,.00,89.22,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,152.97,.00,133
14,Коптевка,Отопление,60.74,.00,.00,.00,.00,.00,.00,.00,.00,5.63,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,141
14,Коптевка,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,142
14,Коптевка,ИТОГО,60.74,.00,.00,.00,.00,.00,.00,.00,.00,5.63,.00,.00,.00,.00,NULL,NULL,NULL,NULL,66.37,.00,143
15,Добрая,Отопление,103.44,31.45,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,151
15,Добрая,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,152
15,Добрая,ИТОГО,103.44,31.45,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,134.89,.00,153
16,Каменка,Отопление,10.72,23.93,.00,.00,.00,.00,.00,.00,130.82,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,161
16,Каменка,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,162
16,Каменка,ИТОГО,10.72,23.93,.00,.00,.00,.00,.00,.00,130.82,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,165.47,.00,163
17,Райагропромтехника,Отопление,4.37,5.15,.00,.00,.00,.00,.00,61.27,84.80,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,171
17,Райагропромтехника,ГВС,.00,.00,.00,.00,.00,.00,.00,29.60,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,172
17,Райагропромтехника,ИТОГО,4.37,5.15,.00,.00,.00,.00,.00,90.87,84.80,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,185.19,.00,173
18,БСХА,Отопление,2132.76,102.15,.00,263.36,52.72,.00,32.87,9.36,2032.11,18.69,.00,.00,890.95,.00,NULL,NULL,NULL,NULL,NULL,NULL,181
18,БСХА,ГВС,.00,.00,.00,38.65,.00,.00,.00,.00,261.13,.00,.00,.00,41.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,182
18,БСХА,ИТОГО,2132.76,102.15,.00,302.01,52.72,.00,32.87,9.36,2293.24,18.69,.00,.00,931.95,.00,NULL,NULL,NULL,NULL,5875.75,.00,183
19,Сова,Отопление,89.17,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,191
19,Сова,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,192
19,Сова,ИТОГО,89.17,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,89.17,.00,193
20,Ленино,Отопление,420.78,36.19,.00,.00,17.81,.00,22.60,.00,942.59,5.23,.00,.00,68.75,.00,NULL,NULL,NULL,NULL,NULL,NULL,201
20,Ленино,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,202
20,Ленино,ИТОГО,420.78,36.19,.00,.00,17.81,.00,22.60,.00,942.59,5.23,.00,.00,68.75,.00,NULL,NULL,NULL,NULL,1513.95,.00,203
21,Прочие,Отопление,.00,105.87,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,211
21,Прочие,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,212
21,Прочие,ИТОГО,.00,105.87,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,105.87,.00,213
22,Горы (больница),Отопление,35.11,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,221
22,Горы (больница),ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,222
22,Горы (больница),ИТОГО,35.11,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,35.11,.00,223
23,Любиж (больница),Отопление,39.87,1.32,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,231
23,Любиж (больница),ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,232
23,Любиж (больница),ИТОГО,39.87,1.32,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,41.19,.00,233
24,Водозабор БГСХА,Отопление,.00,.00,.00,.00,17.76,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,241
24,Водозабор БГСХА,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,242
24,Водозабор БГСХА,ИТОГО,.00,.00,.00,.00,17.76,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,17.76,.00,243
25,Котельная школа Котелево,Отопление,19.61,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,251
25,Котельная школа Котелево,ГВС,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,NULL,NULL,252
25,Котельная школа Котелево,ИТОГО,19.61,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,NULL,NULL,NULL,NULL,19.61,.00,253
NULL,ВСЕГО:,Отопление,4210.34,1870.22,3412.22,.00,210.36,4.14,198.66,765.74,10270.78,316.92,.00,.00,717.76,.00,.00,.00,.00,.00,10988.57,.00,1001
NULL,ВСЕГО:,ГВС,745.92,170.50,.00,.00,.00,.00,.00,196.10,1473.10,33.84,.00,.00,.00,.00,.00,.00,.00,.00,1309.73,.00,1002
NULL,ВСЕГО:,ИТОГО,231.42,4.10,.00,.00,.00,.00,.00,625.38,178.44,.00,.00,.00,.00,.00,.00,.00,.00,.00,519.67,.00,1003
